ABL,MCB,ABOT,AICL,AGP,AGIL,ARPL,AKBL,ATLH,APL,ATRL,BAHL,BAFL,BNWM,BWCL,BYCO,CHCC,COLG,DGKC,DAWH,DCR,EFUG,ENGRO,EFERT,EFOODS,EPCL,FATIMA,FCCL,FFC,FFBL,FABL,FHAM,GADT,GHGL,GLAXO,GSKCH,GATM,HBL,HMB,HASCOL,HCAR,IBFL,ICI,IGIHL,INDU,INIL,ISL,JLICL,KEL,KOHC,KTML,KAPCO,LOTCHEM,LUCK,MLCF,MARI,MEBL,MTL,MUREB,NBP,NATF,NRL,NESTLE,NCL,NCPL,NML,OGDC,OLPL,PKGS,PAEL,PSMC,PTC,POL,PPL,PSO,PSX,PAKT,PMPK,PIOC,SPWL,SRVI,SHEL,SHFA,SCBPL,SNGP,SSGC,SYS,THALL,BOP,HUBC,SEARL,UBL
1704,3296,19653,1030,63,13546,41772,4674,37638,4152,1354,23219,1513,1767,2956,150,1813,34912,499,13283,176,1860,10046,413,281,470,139,265,14654,1398,729,10637,1886,43062,1001,368,8096,297,5713,934,13229,2648,4061,16308,32725,15628,391,4806,13,21302,1399,284,302,24601,57,46789,22166,411602,17136,3190,274558,1562,22548,8445,537,8712,685,433,10574,177,760,93,18960,3145,6545,45,35576,275788,140,91,13587,1691,8938,67,657,486,286,310157,66,4873,7909,1718
1715,3107,20072,1005,61,13670,42642,4833,37665,4109,1409,23428,1501,1724,2852,148,1811,37150,468,13564,180,1856,11334,412,276,469,134,270,15005,1435,669,10660,1891,43935,947,376,8373,305,5672,942,13734,2648,4062,16130,33102,16111,387,4824,13,22493,1457,274,296,25000,51,48152,22464,419555,17944,3166,277490,1593,22623,8236,552,8357,675,430,10246,186,762,97,19127,2872,6359,44,35787,278181,133,95,13748,1817,9562,64,682,505,287,304526,68,4926,7480,1772
1732,2947,20545,968,65,13435,40872,4816,36215,3780,1556,23747,1528,1697,2859,146,1805,34864,480,13235,176,1576,13442,400,266,438,119,260,14939,1454,697,10714,1911,44519,831,381,8296,295,5913,994,12600,2640,4115,16235,33729,14960,378,4677,13,22580,1433,253,275,26015,52,47409,23699,424379,18319,3178,282293,1651,22077,8280,567,8291,684,406,10713,170,817,93,19687,2747,6365,45,37165,280684,130,99,14026,2136,9116,67,701,515,293,309684,54,4776,7860,1836
1746,2724,20969,947,64,13546,42079,4827,36703,3970,1502,23560,1560,1736,2880,155,1855,35555,527,13635,175,1261,14675,408,279,465,125,299,15054,1460,698,10789,1960,46517,760,376,8076,305,5856,1013,13263,2661,4294,16066,33528,15367,378,4243,12,24236,1428,241,264,25558,48,47289,23653,414229,18903,3212,288718,1680,20553,8481,535,8345,683,392,10924,176,917,96,19709,2607,6549,50,37700,284327,135,104,14320,2370,8541,62,658,514,291,331530,56,4794,7412,1782
1742,2788,21371,964,60,13536,43534,4781,36661,3612,1493,23461,1505,1719,3059,153,1950,33022,503,13955,176,1281,15855,410,281,490,121,306,15128,1521,698,10598,2000,46968,646,335,7746,307,5899,1059,13895,2744,4484,15854,33699,14097,358,3979,12,23965,1317,248,256,26583,45,47318,23514,421874,19626,3229,295697,1624,21440,7945,561,8668,686,399,10775,168,769,93,19222,2685,6774,49,37343,285890,163,103,14585,2738,7773,64,595,503,288,332638,57,4843,7551,1856
1784,2802,22038,918,60,14090,42074,4763,35921,3651,1498,23885,1548,1789,3124,156,1942,32300,525,13564,171,1339,17343,427,277,493,116,276,14809,1534,645,10737,2054,44480,744,321,7467,317,5860,1054,13936,2727,4613,16050,33208,14283,339,3823,12,24584,1385,235,248,26860,43,46368,23967,404850,20224,3231,304235,1620,21172,8170,523,8598,673,335,10560,174,754,95,18799,2777,6758,46,37439,285829,157,105,14872,3372,8997,64,585,501,294,321043,59,4720,7475,1865
1789,2525,22321,870,58,14319,42916,4836,37276,3533,1595,24072,1610,1701,2902,154,2128,34696,514,14190,174,1119,17968,426,279,471,123,289,15042,1523,629,10710,2073,41916,693,352,7201,307,5930,1083,12942,2706,4495,16512,32724,10250,325,4205,12,23645,1409,230,246,26898,45,46037,24799,389448,20342,3177,314575,1616,20547,8262,537,8524,678,356,10286,160,790,92,18754,2921,6605,45,37243,283448,133,99,15244,3824,8321,61,522,489,299,329279,54,4551,7305,1929
1798,2313,22535,857,62,14411,44848,4950,35784,3650,1546,23666,1552,1807,2870,140,2170,32116,512,14239,180,1412,18484,432,264,444,135,234,15397,1466,592,10720,2114,42366,786,369,6891,309,6075,1116,13762,2695,4428,16304,33567,11283,362,4827,12,23540,1382,215,223,27731,44,45530,25152,384680,20848,3203,320592,1724,20207,8122,542,8759,666,351,10731,164,802,97,18884,2928,6615,46,36614,286617,138,103,15579,4355,8309,61,538,513,303,344619,54,4409,7482,1968
1801,2305,23152,846,64,14346,44897,4825,36229,3736,1568,23826,1532,1810,3087,148,2225,34355,539,13862,183,1714,18207,429,264,459,145,240,15318,1532,623,10624,2157,43847,901,367,6328,323,6143,1154,13146,2797,4517,15993,33683,9365,322,5055,12,23182,1340,205,219,27775,42,46594,25398,369990,21628,3196,325632,1811,20561,7660,532,8978,684,343,10676,159,953,94,18741,2880,6647,46,36725,295747,143,103,15889,5060,7712,58,516,516,308,343811,45,4243,7475,1962
1781,2352,23836,831,65,14327,42915,4903,35091,3672,1660,24172,1630,1810,3123,146,2127,32698,528,14351,183,1652,18251,429,260,484,128,231,15146,1553,611,10848,2228,46380,832,352,6150,326,6250,1130,12344,2772,4785,16334,34990,12351,339,5162,11,23853,1322,210,233,28013,43,45887,25885,362240,21939,3187,331943,1892,20159,7978,572,8971,679,364,10782,175,890,97,18848,2696,6783,49,36235,281854,122,106,16033,5554,8623,58,547,518,306,345251,52,4268,7211,1999
